title,description,published_at,provider_id
1. Introduction (CMS.611J Creating Video Games),"MIT CMS.611J Creating Video Games, Fall 2014
View the complete course: http://ocw.mit.edu/CMS-611JF14
Instructor: Philip Tan, Sara Verrilli, Rik Eberhardt, Andrew Grant

In this lecture, the professors introduce the course, explain the projects, and start to discuss the aspects of various games.

License: Creative Commons BY-NC-SA
More information at http://ocw.mit.edu/terms
More courses at http://ocw.mit.edu",2015-11-20T20:11:57Z,pfDfriSjFbY
"2. Project 1, Low Fidelity Prototyping","MIT CMS.611J Creating Video Games, Fall 2014
View the complete course: http://ocw.mit.edu/CMS-611JF14
Instructor: Philip Tan, Sara Verrilli, Rik Eberhardt

In this lecture, the professors discuss the principles of prototyping in creating video games.

License: Creative Commons BY-NC-SA
More information at http://ocw.mit.edu/terms
More courses at http://ocw.mit.edu",2015-11-20T20:11:57Z,j8ZGpRo8jd4
3. Game Engines,"MIT CMS.611J Creating Video Games, Fall 2014
View the complete course: http://ocw.mit.edu/CMS-611JF14
Instructor: Philip Tan, Sara Verrilli, Rik Eberhardt, Andrew Grant

In this lecture, the professors discuss the role of game engines in creating video games.

License: Creative Commons BY-NC-SA
More information at http://ocw.mit.edu/terms
More courses at http://ocw.mit.edu",2015-11-20T20:11:57Z,2pfdTSZ-GUM
"4. Project 2, Digital Prototype with Project Management","MIT CMS.611J Creating Video Games, Fall 2014
View the complete course: http://ocw.mit.edu/CMS-611JF14
Instructor: Philip Tan, Rik Eberhardt

In this lecture, the professors introduce Project 2 of the class.

License: Creative Commons BY-NC-SA
More information at http://ocw.mit.edu/terms
More courses at http://ocw.mit.edu",2015-11-20T20:11:57Z,dE-QgdrtzHw
5. Agile Software Development,"MIT CMS.611J Creating Video Games, Fall 2014
View the complete course: http://ocw.mit.edu/CMS-611JF14
Instructor: Sara Verrilli

In this lecture, the professors discuss Agile software development, and how it relates to project management.

License: Creative Commons BY-NC-SA
More information at http://ocw.mit.edu/terms
More courses at http://ocw.mit.edu",2015-11-20T20:11:57Z,UxMpn92vGXs
6. Agile Project Management,"MIT CMS.611J Creating Video Games, Fall 2014
View the complete course: http://ocw.mit.edu/CMS-611JF14
Instructor: Philip Tan, Sara Verrilli, Andrew Grant

In this lecture, the professors continue discussing Agile project management.

License: Creative Commons BY-NC-SA
More information at http://ocw.mit.edu/terms
More courses at http://ocw.mit.edu",2015-11-20T20:11:57Z,nrfl6GAQy2s
7. Testing and Guest Lecture with Genevieve Conley of Riot Games,"MIT CMS.611J Creating Video Games, Fall 2014
View the complete course: http://ocw.mit.edu/CMS-611JF14
Instructor: Genevieve Conley, Philip Tan, Sara Verrilli

In this lecture, Genevieve Conley from Riot Games describes the process of game development.

License: Creative Commons BY-NC-SA
More information at http://ocw.mit.edu/terms
More courses at http://ocw.mit.edu",2015-11-20T20:11:57Z,xQANWfUYeNg
"8. Project 2 Presentations, Project 3 (Digital Prototype II: User Interface)","MIT CMS.611J Creating Video Games, Fall 2014
View the complete course: http://ocw.mit.edu/CMS-611JF14
Instructor: Rik Eberhardt

In this lecture, the students present their second project, and are introduced to the third project of the class.

License: Creative Commons BY-NC-SA
More information at http://ocw.mit.edu/terms
More courses at http://ocw.mit.edu",2015-11-20T20:11:57Z,MZSnYgdlV0A
9. Guest Lecture with SWERY of Access Games,"MIT CMS.611J Creating Video Games, Fall 2014
View the complete course: http://ocw.mit.edu/CMS-611JF14
Instructor: Rik Eberhardt, SWERY

In this lecture, SWERY from Access Games describes his experience in game development.

License: Creative Commons BY-NC-SA
More information at http://ocw.mit.edu/terms
More courses at http://ocw.mit.edu",2015-11-20T20:11:57Z,B1zWyyNoRq8
10. UI and Usability,"MIT CMS.611J Creating Video Games, Fall 2014
View the complete course: http://ocw.mit.edu/CMS-611JF14
Instructor: Philip Tan, Sara Verrilli

In this lecture, the professors discuss the principles of UI and usability in creating video games.

License: Creative Commons BY-NC-SA
More information at http://ocw.mit.edu/terms
More courses at http://ocw.mit.edu",2015-11-20T20:11:57Z,-SHXUwpVgXU
